freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.224e+02,9.585e+00,2.416e+01,2.561e+02
1.5,1.881e+02,4.973e+01,1.123e+02,3.501e+02
3.1,9.358e+01,5.774e+01,1.343e+02,2.857e+02
4.6,3.833e+02,5.598e+01,1.287e+02,5.679e+02
6.1,1.234e+03,6.029e+01,1.194e+02,1.414e+03
7.7,2.009e+03,6.196e+01,1.175e+02,2.188e+03
9.2,2.819e+03,5.940e+01,1.187e+02,2.997e+03
10.7,3.804e+03,5.656e+01,1.157e+02,3.976e+03
12.2,5.048e+03,5.843e+01,1.095e+02,5.216e+03
13.8,6.386e+03,6.619e+01,1.036e+02,6.556e+03
15.3,7.461e+03,6.778e+01,1.229e+02,7.652e+03
16.8,8.925e+03,6.230e+01,1.319e+02,9.119e+03
18.4,1.093e+04,6.065e+01,1.227e+02,1.111e+04
19.9,1.294e+04,6.486e+01,1.246e+02,1.313e+04
21.4,1.518e+04,7.179e+01,1.206e+02,1.537e+04
23.0,1.868e+04,7.649e+01,1.653e+02,1.893e+04
24.5,2.064e+04,9.222e+01,1.934e+02,2.093e+04
26.0,2.107e+04,8.622e+01,2.042e+02,2.136e+04
27.6,2.355e+04,1.036e+02,1.907e+02,2.384e+04
29.1,2.473e+04,1.420e+02,1.602e+02,2.503e+04
30.6,2.783e+04,1.690e+02,1.768e+02,2.818e+04
32.2,3.220e+04,1.145e+02,1.859e+02,3.250e+04
33.7,3.658e+04,1.069e+02,1.707e+02,3.686e+04
35.2,4.405e+04,1.440e+02,1.807e+02,4.437e+04
36.7,5.357e+04,1.730e+02,2.187e+02,5.397e+04
38.3,6.287e+04,1.403e+02,2.760e+02,6.329e+04
39.8,7.130e+04,1.173e+02,2.814e+02,7.170e+04
41.3,7.881e+04,1.387e+02,2.986e+02,7.925e+04
42.9,7.707e+04,3.728e+02,4.443e+02,7.789e+04
44.4,7.164e+04,1.187e+03,7.791e+02,7.361e+04
45.9,8.386e+04,3.125e+03,1.713e+03,8.870e+04
47.5,1.117e+05,4.382e+03,3.404e+03,1.194e+05
49.0,1.496e+05,4.630e+03,6.770e+03,1.610e+05
50.5,1.932e+05,4.210e+03,1.315e+04,2.105e+05
52.1,1.606e+05,3.000e+03,1.538e+04,1.789e+05
53.6,1.112e+05,1.857e+03,1.259e+04,1.257e+05
55.1,8.269e+04,1.161e+03,9.047e+03,9.290e+04
56.6,5.778e+04,7.664e+02,5.939e+03,6.448e+04
58.2,3.607e+04,4.625e+02,3.817e+03,4.035e+04
59.7,2.169e+04,2.470e+02,2.342e+03,2.428e+04
61.2,1.506e+04,1.543e+02,1.735e+03,1.695e+04
62.8,1.301e+04,1.576e+02,1.504e+03,1.468e+04
64.3,1.400e+04,1.968e+02,1.291e+03,1.549e+04
65.8,1.657e+04,2.144e+02,9.909e+02,1.777e+04
67.4,1.946e+04,2.485e+02,8.088e+02,2.051e+04
68.9,2.267e+04,2.963e+02,7.656e+02,2.373e+04
70.4,2.637e+04,3.592e+02,7.766e+02,2.750e+04
72.0,2.874e+04,5.894e+02,7.563e+02,3.008e+04
73.5,2.882e+04,9.385e+02,1.099e+03,3.086e+04
75.0,3.033e+04,1.046e+03,2.003e+03,3.338e+04
76.6,3.541e+04,8.630e+02,2.277e+03,3.855e+04
78.1,4.277e+04,6.399e+02,2.681e+03,4.609e+04
79.6,5.263e+04,4.329e+02,3.195e+03,5.626e+04
81.1,6.453e+04,2.857e+02,3.035e+03,6.785e+04
