freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.888e+02,2.660e+01,7.370e+01,3.891e+02
1.5,1.801e+02,7.592e+01,6.253e+01,3.185e+02
3.1,3.264e+01,8.770e+01,2.445e+01,1.448e+02
4.6,3.029e+02,8.504e+01,2.367e+01,4.116e+02
6.1,1.135e+03,8.282e+01,2.548e+01,1.244e+03
7.7,1.945e+03,8.419e+01,2.678e+01,2.056e+03
9.2,2.886e+03,8.057e+01,2.717e+01,2.994e+03
10.7,4.006e+03,7.623e+01,3.127e+01,4.113e+03
12.3,5.514e+03,7.742e+01,3.650e+01,5.628e+03
13.8,7.325e+03,7.740e+01,4.978e+01,7.452e+03
15.3,9.531e+03,8.089e+01,6.957e+01,9.681e+03
16.9,1.249e+04,7.973e+01,1.348e+02,1.270e+04
18.4,1.623e+04,7.801e+01,2.536e+02,1.656e+04
19.9,2.133e+04,7.915e+01,4.989e+02,2.191e+04
21.5,2.886e+04,8.694e+01,9.921e+02,2.994e+04
23.0,3.824e+04,1.014e+02,2.389e+03,4.073e+04
24.5,4.055e+04,1.537e+02,2.848e+03,4.356e+04
26.1,4.602e+04,3.233e+02,3.113e+03,4.946e+04
27.6,5.896e+04,6.433e+02,5.956e+03,6.556e+04
29.1,8.154e+04,1.180e+03,9.456e+03,9.218e+04
30.7,1.303e+05,2.108e+03,1.188e+04,1.443e+05
32.2,2.425e+05,4.892e+03,1.286e+04,2.603e+05
33.7,5.057e+05,1.710e+04,1.836e+04,5.411e+05
35.3,7.207e+05,3.491e+04,4.923e+04,8.048e+05
36.8,6.413e+05,3.525e+04,8.303e+04,7.595e+05
38.3,3.919e+05,2.461e+04,1.007e+05,5.172e+05
39.9,2.260e+05,1.210e+04,8.021e+04,3.183e+05
41.4,1.256e+05,5.130e+03,5.056e+04,1.813e+05
42.9,6.096e+04,2.990e+03,3.694e+04,1.009e+05
44.5,2.790e+04,2.452e+03,3.256e+04,6.292e+04
46.0,1.362e+04,2.035e+03,3.700e+04,5.266e+04
47.5,9.628e+03,1.922e+03,5.165e+04,6.320e+04
49.1,1.851e+04,2.238e+03,8.364e+04,1.044e+05
50.6,4.816e+04,3.583e+03,1.377e+05,1.895e+05
52.1,8.559e+04,5.463e+03,1.604e+05,2.514e+05
53.7,1.305e+05,9.631e+03,1.397e+05,2.799e+05
55.2,1.781e+05,1.694e+04,1.047e+05,2.997e+05
56.7,2.054e+05,2.002e+04,6.530e+04,2.907e+05
58.3,2.075e+05,2.086e+04,5.747e+04,2.858e+05
59.8,1.691e+05,2.395e+04,5.972e+04,2.528e+05
61.3,1.067e+05,2.986e+04,5.917e+04,1.957e+05
62.9,4.735e+04,3.194e+04,5.808e+04,1.374e+05
64.4,1.734e+04,2.930e+04,5.473e+04,1.014e+05
65.9,6.854e+03,2.798e+04,5.734e+04,9.218e+04
67.5,8.560e+03,2.537e+04,5.858e+04,9.251e+04
69.0,1.971e+04,1.779e+04,5.584e+04,9.334e+04
